group,SPORT
ITV2.uk,ITV 2,rtmp://141.8.247.250:1935/base
ITV3.uk,ITV 3,http://wpc.573d.edgecastcdn.net:80/00573D/live/enc0001/a-itv3/m3u8/a-itv3-1.m3u8
ITV4.uk,ITV 4,rtmp://141.8.247.250:1935/base
ext,ITV choice,http://185.27.237.105:8082/TV0055
LondonLive.uk,London Live,http://bcoveliveios-i.akamaihd.net/hls/live/217434/3083279840001/master_900.m3u8
ext,AMEDIA 1 HD RU,http://46.61.226.18/hls/CH_C01_HDAMEDIA/bw3000000/variant.m3u8?version=2
ext,Amedia Premium HD RU,http://46.61.226.18/hls/CH_C05_HDAMEDIAPREMIUM/bw3000000/variant.m3u8?version=2
ext,SBT BR,http://srv3.zoeweb.tv:1935/z133-live/stream/playlist.m3u8
ext,REDE TV BR,rtmp://evp.mm.uol.com.br:1935/redetv1/_definst_/redetv1
ext,TV ESCOLA BR,http://livela.sambatech.com.br/hls-live/livepkgr/acerp_1f9a5d00db56b3c3020b6ac3dd693e12/liveevent/livestream.m3u8
ext,SIC PT,http://88.157.194.246/live/ramdisk/zsic/HLS/zsic.m3u8
Globonordeste.br,GLOBO NORDESTE,http://live-cdn.direct-stream.org:1935/live/_definst_/101010/Globo_SP_Anderson_Elias.m3u8?Grupo_UP_e_DOWN
ext,Canal Do Boi Tv,rtmp://srvvenus.canaldoboi.com:1935/livecb/livestream
CartoonNetwork.uk,CARTOON NETWORK,rtmp://31.204.128.140:1935/live/brlive_0028
DiscoveryKids.mx,DISCOVERY KIDS,rtmp://31.204.128.74:1935/live/master24
CanalExtremadura.es,Extremadura TV,http://corporacionextremena-live.hls.adaptive.level3.net/hls-live/corporacionextremena-channel02/_definst_/live.m3u8
ext,Extremadura TV 1,rtmp://corporacionextremenaocclivefs.fplive.net:1935/corporacionextremenalive-live//stream1
FX.uk,FOX,rtmp://31.204.128.140:1935/live/fox
Nickelodeon.uk,NICKELODEON,rtmp://31.204.128.140:1935/live/brlive_0030
ext,Rede Família,rtsp://srv3.ntelecom.com.br/redefamilia
ext,Rede Minas,rtmp://rtmp.cdn.upx.net.br:1935/00084/myStream.sdp
ext,TV MANÁ BRASIL,http://195.22.19.189:1935/tvbr/tvbrasil2/hasbahca.m3u8

group,MOVIES
Film4.uk,Film 4,http://78.129.175.72/live/film4/film4.m3u8
SkyMoviesPremiere.uk,Sky Movies Premiere,http://91.109.20.227:8080/TV4251
ext,Sky Movies Premiere+,http://91.109.20.227:8080/TV4252
SkyMoviesIndie.uk,Sky Movies Select,http://91.109.20.227:8080/TV4254
ext,Sky Movies Action & Adventure,http://91.109.20.227:8080/TV4245
SkyMoviesComedy.uk,Sky Movies Comedy,http://91.109.20.227:8080/TV4246
